level,frequency,word_plain,reading
N5,未分频,遅い,おそい
N5,未分频,茶色,ちゃいろ
N3,低频,茶 碗,ちゃわん
N5,未分频,着く,つく
N5,未分频,着る,きる
N5,未分频,中,なか
N3,低频,中華料理,ちゅうかりょうり
N4,未分频,中学,ちゅうがく
N5,未分频,中学校,ちゅうがっこう
N5,未分频,中学生,ちゅうがくせい
N5,未分频,中国,ちゅうごく
N5,未分频,昼,ひる
N5,未分频,昼ご飯,ひるごはん
N4,未分频,丁寧,ていねい
N3,高频,張る,はる
N4,未分频,貼る,はる
N5,未分频,朝,あさ
N5,未分频,朝ご飯,あさごはん
N5,未分频,町,まち
N5,未分频,長い,ながい
N5,未分频,鳥,とり
N5,未分频,痛い,いたい
N5,未分频,低い,ひくい
N2,中频,定価,ていか
N5,未分频,庭,にわ
N5,未分频,弟,おとうと
N5,未分频,天気,てんき
N2,高频,天候,てんこう
N5,未分频,店,みせ
N4,未分频,伝える,つたえる
N3,中频,田舎,いなか
N5,未分频,電気,でんき
N5,未分频,電車,でんしゃ
N5,未分频,電話,でんわ
N5,未分频,渡す,わたす
N5,未分频,渡る,わたる
N4,未分频,登る,のぼる
N3,中频,都会,とかい
N2,高频,都市,とし
N5,未分频,土曜日,どようび
N5,未分频,冬,ふゆ
N5,未分频,冬休み,ふゆやすみ
N5,未分频,東,ひがし
N5,未分频,答え,こたえ
N5,未分频,答える,こたえる
N5,未分频,頭,あたま
N5,未分频,働く,はたらく
N5,未分频,動物,どうぶつ
N5,未分频,同じ,おなじ
N5,未分频,道,みち
N4,未分频,道具,どうぐ
N5,未分频,読む,よむ
N3,低频,豚肉,ぶたにく
N5,未分频,曇り,くもり
N5,未分频,曇る,くもる
N4,未分频,内容,ないよう
N5,未分频,南,みなみ
N5,未分频,難しい,むずかしい
N5,未分频,二つ,ふたつ
N5,未分频,二十,にじゅう
N3,低频,二十歳,はたち
N5,未分频,二十日,はつか
N5,未分频,二人,ふたり
N5,未分频,二日,ふつか
N5,未分频,肉,にく
N5,未分频,日本,にほん
N5,未分频,日本語,にほんご
N5,未分频,日本人,にほんじん
N5,未分频,日曜日,にちようび
N5,未分频,入る,はいる
N5,未分频,入れる,いれる
N5,未分频,猫,ねこ
N5,未分频,熱い,あつい
N5,未分频,年,とし
N2,中频,年金,ねんきん
N4,未分频,濃い,こい
N4,未分频,背,せ
N3,低频,梅雨,つゆ
N5,未分频,買い物,かいもの
N5,未分频,買う,かう
N5,未分频,売る,うる
N3,中频,博物館,はくぶつかん
N5,未分频,白,しろ
N5,未分频,白い,しろい
N5,未分频,薄い,うすい
N5,未分频,箸,はし
N5,未分频,八つ,やっつ
N5,未分频,八日,ようか
N5,未分频,髪,かみ
N5,未分频,半,はん
N5,未分频,半分,はんぶん
N5,未分频,晩,ばん
N5,未分频,晩ご飯,ばんごはん
N5,未分频,番号,ばんごう
N5,未分频,彼,かれ
N5,未分频,彼女,かのじょ
N5,未分频,疲れる,つかれる
N3,中频,皮,かわ
N3,中频,かぶる,かぶる
N5,未分频,飛ぶ,とぶ
N5,未分频,飛行機,ひこうき
N5,未分频,鼻,はな
N5,未分频,百,ひゃく
N5,未分频,病院,びょういん
N4,未分频,病気,びょうき
N5,未分频,付ける,つける
N5,未分频,夫,おっと
N5,未分频,父,ちち
N4,未分频,負ける,まける
N5,未分频,部屋,へや
N4,未分频,封筒,ふうとう
N5,未分频,風,かぜ
N5,未分频,風邪,かぜ
N5,未分频,風呂,ふろ
N5,未分频,服,ふく
N5,未分频,物,もの
N5,未分频,分かる,わかる
N5,未分频,聞く,きく
N5,未分频,平仮名,ひらがな
N5,未分频,並ぶ,ならぶ
N5,未分频,並べる,ならべる
N4,未分频,閉まる,しまる
N4,未分频,閉める,しめる
N5,未分频,片仮名,かたかな
N4,未分频,返す,かえす
N5,未分频,便利,べんり
N5,未分频,勉強,べんきょう
N5,未分频,弁当,べんとう
N5,未分频,歩く,あるく
N4,未分频,方,かた
N4,未分频,方,ほう
N5,未分频,帽子,ぼうし
N5,未分频,忘れる,わすれる
N5,未分频,忙しい,いそがしい
N5,未分频,北,きた
N5,未分频,北側,きたがわ
N5,未分频,僕,ぼく
N5,未分频,本,ほん
N5,未分频,本屋,ほんや
N5,未分频,本棚,ほんだな
N5,未分频,本当,ほんとう
N5,未分频,磨く,みがく
N5,未分频,妹,いもうと
N3,高频,毎回,まいかい
N5,未分频,毎月,まいつき
N5,未分频,毎週,まいしゅう
N5,未分频,毎朝,まいあさ
N5,未分频,毎日,まいにち
N5,未分频,毎年,まいとし
N5,未分频,毎晩,まいばん
N5,未分频,万,まん
N4,未分频,漫画,まんが
N5,未分频,みかん,みかん
N4,未分频,夢,ゆめ
N4,未分频,娘,むすめ
N5,未分频,名前,なまえ
N5,未分频,明るい,あかるい
N5,未分频,明日,あした
N5,未分频,面白い,おもしろい
N2,低频,麺,めん
N5,未分频,木,き
N5,未分频,木曜日,もくようび
N5,未分频,目,め
N5,未分频,問題,もんだい
N5,未分频,夜,よる
N4,未分频,野球,やきゅう
N5,未分频,野菜,やさい
N5,未分频,薬,くすり
N5,未分频,友達,ともだち
N5,未分频,有名,ゆうめい
N5,未分频,遊ぶ,あそぶ
N5,未分频,郵便局,ゆうびんきょく
N5,未分频,夕方,ゆうがた
N3,低频,幼稚園,ようちえん
N5,未分频,洋服,ようふく
N5,未分频,葉書,はがき
N5,未分频,欲しい,ほしい
N3,中频,浴衣,ゆかた
N5,未分频,来る,くる
N5,未分频,来月,らいげつ
N5,未分频,来週,らいしゅう
N5,未分频,来年,らいねん
N4,未分频,頼む,たのむ
N5,未分频,卵,たまご
N4,未分频,履く,はく
N5,未分频,立つ,たつ
N4,未分频,立てる,たてる
N4,未分频,立派,りっぱ
N5,未分频,留学,りゅうがく
N5,未分频,留学生,りゅうがくせい
N5,未分频,旅行,りょこう
N5,未分频,両親,りょうしん
N2,中频,寮,りょう
N5,未分频,料理,りょうり
N4,未分频,涼しい,すずしい
N5,未分频,良い,よい
N5,未分频,緑,みどり
N5,未分频,隣,となり
N4,未分频,涙,なみだ
N5,未分频,冷たい,つめたい
N5,未分频,冷蔵庫,れいぞうこ
N3,中频,零,れい
N5,未分频,練習,れんしゅう
N1,低频,露,つゆ
N4,未分频,廊下,ろうか
N5,未分频,六つ,むっつ
N5,未分频,六日,むいか
